ID,token,PC1,PC2,PC3,cosine to query,group
7020,[sp]Linux,-0.25994,0.0952609,0.23645991,1.0,query
19314,Linux,-0.22014774,0.11055198,0.21030015,0.7717755436897278,neighbor
32639,[sp]linux,-0.16945899,-0.012587316,0.23468344,0.7248371243476868,neighbor
14949,[sp]Ubuntu,-0.2533823,-0.025277372,-0.06636945,0.635330855846405,neighbor
33501,[sp]Unix,-0.17380911,-0.08562674,0.19507137,0.6295530200004578,neighbor
23289,linux,-0.17565092,-0.0012511184,0.16582513,0.627209484577179,neighbor
3964,[sp]Windows,-0.10503751,0.37592363,0.05280231,0.6063732504844666,neighbor
22961,[sp]GNU,-0.22567289,-0.16793093,0.022862764,0.594306230545044,neighbor
26062,[sp]Debian,-0.242393,-0.20406179,-0.010125667,0.585484504699707,neighbor
35841,[sp]FreeBSD,-0.21260701,-0.14595498,0.00044513028,0.5853595733642578,neighbor
11209,Windows,-0.1287442,0.38041112,0.02910798,0.5776693224906921,neighbor
5565,[sp]Android,0.022481345,0.54034984,-0.093214124,0.5577481389045715,neighbor
40339,[sp]GNOME,-0.2304418,-0.21176481,-0.11686017,0.5558439493179321,neighbor
32418,[sp]CentOS,-0.18770306,-0.21371876,0.017360369,0.5243101119995117,neighbor
32245,[sp]Fedora,-0.20013016,-0.2321843,-0.07120561,0.5187997221946716,neighbor
25934,Android,-0.008437089,0.49203593,-0.06624358,0.5164864659309387,neighbor
29905,[sp]filesystem,0.09777711,-0.17945561,0.21380806,0.5163335204124451,neighbor
40017,[sp]macOS,-0.122022584,0.14390095,-0.04833875,0.5142228603363037,neighbor
9720,[sp]kernel,0.027931103,-0.23798642,0.09282283,0.5080589056015015,neighbor
36632,[sp]KDE,-0.18675345,-0.1886903,-0.17842163,0.5036569237709045,neighbor
8450,[sp]USB,0.17754285,0.16202343,0.030374458,0.4994860291481018,neighbor
6831,[sp]database,0.4609281,-0.12641394,0.071363315,0.30732256174087524,comparison
4382,[sp]server,0.32827663,-0.0859307,0.050852157,0.40495848655700684,comparison
18650,[sp]Oracle,0.22574542,-1.994435e-05,-0.4142676,0.32760128378868103,comparison
10324,[sp]AMD,0.006410112,-0.004137019,-0.4963936,0.44040653109550476,comparison
15127,[sp]NVIDIA,0.042317268,-0.0068262643,-0.5012367,0.43384742736816406,comparison
6297,[sp]boot,0.32471892,-0.06150374,0.21107765,0.3101840615272522,comparison
6891,[sp]coffee,0.3905158,0.086594746,0.11842046,0.3566407859325409,comparison
2647,[sp]music,0.50060344,0.041290503,0.19413012,0.34038829803466797,comparison
10308,[sp]stadium,0.49708354,-0.23702104,-0.085090764,0.22102206945419312,comparison
